,@id,@type,rdfs:label.de,rdfs:label.pt,rdfs:label.en,rdfs:label.it,rdfs:label.fr,rdfs:label.nl,rdfs:label.es
2,kb:SportSailing,['SportsTheme'],['Segelsport'],['Desporto à vela'],['Sport sailing'],['Sport di vela'],['Sport à voile'],['Zeilsport'],['Deportes de vela']
4,kb:Windsurfing,['SportsTheme'],['Windsurfen'],['Prancha à vela'],['Windsurfing'],['Windsurf'],['Planche à voile'],['Surfplank'],['Tabla de windsurf']
0,kb:Scooter,['SportsTheme'],['Tretroller'],['Trotineta'],['Scooter'],['Monopattino'],['Trottinette'],['Step'],['Patinete']
0,kb:Quad,['SportsTheme'],['Quad'],['Moto-quatro'],['Quad'],['Quad'],['Quad'],['Quad'],['Quad']
1,kb:ElectricATV,['SportsTheme'],['Elektro-Mountainbike'],['Bicicleta-todo-o-terreno (BTT) elétrica'],['Electri atv'],['Mountain bike elettrica'],['Vtt électrique'],['Elektrische mountainbike'],['Bicicleta eléctrica de montaña']
2,kb:Gyropode,['SportsTheme'],['Segway'],['Diciclo elétrico / transporte autoequilibrado'],['Gyropode'],['Segway'],['Gyropode'],['Segway'],['Segway']
1,kb:PowerBoating,['SportsTheme'],['Motorbootfahren'],['Motonáutica'],['Power boating'],['Motonautica'],['Motonautisme'],['Powerbootracing'],['Navegación a motor']
0,kb:Bodybuilding,['SportsTheme'],['Bodybuilding'],['Musculação'],['Bodybuilding'],['Bodybuilding'],['Musculation'],['Bodybuilding'],['Musculación']
0,kb:Bodyboard,['SportsTheme'],['Bodyboard'],['Bodyboard'],['Bodyboard'],['Bodyboard'],['Bodyboard'],['Bodyboarden'],['Bodyboard']
5,kb:Surf,['SportsTheme'],['Surfen'],['Surf'],['Surf'],['Surf'],['Surf'],['Surfen'],['Surf']
0,kb:AirSports,['SportsTheme'],['Luftsport'],['Desporto aéreo'],['Air sports'],['Sport aereo'],['Sport aérien'],['Luchtsport'],['Deporte aéreo']
1,kb:Parasailing,['SportsTheme'],['Parasailing'],['Paraquedas ascensional'],['Parasailing'],['Paracadute ascensionale'],['Parachute ascensionnel'],['Parasailing'],['Paravelismo']
1,kb:Helicopter,['SportsTheme'],['Hubschrauber'],['Helicóptero'],['Helicopter'],['Elicottero'],['Hélicoptère'],['Helikopter'],['Helicóptero']
1,kb:BicycleTouring,['SportsTheme'],['Radtourismus'],['Cicloturismo'],['Bicycle touring'],['Cicloturismo'],['Cyclotourisme'],['Fietstoerisme'],['Cicloturismo']
5,kb:Cycling,['SportsTheme'],['Radfahren'],['Ciclismo'],['Cycling'],['Ciclismo'],['Cyclisme'],['Wielrennen'],['Ciclismo']
7,kb:ElectricBike,['SportsTheme'],"['Elektrofahrrad, Speedbike']","['Bicicleta elétrica, bicicleta de velocidade']",['Electric bike'],"['Bicicletta elettrica, speed bike']","['Vélo électrique, speed bike']","['Elektrische fiets, speedbike']","['Bicicleta eléctrica, bicicleta de velocidad']"
8,kb:ElectricallyAssistedBicycle,['SportsTheme'],['Ladestation für Elektrofahrräder'],['Bicicleta elétrica'],['Electrically assisted bicycle'],['Bicicletta a pedalata assistita'],"['Vélo à assistance électrique, VAE']",['Elektrische fiets'],"['Bicicleta eléctrica, VAE']"
